datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2025.01.01,00:00,23.59,Arnulf,235,19,254,-3.2,12.7,0,70,8.1
2025.01.02,00:00,23.59,Arnulf,370,38,408,0.3,10.5,15.7,95,0
2025.01.03,00:00,23.59,Arnulf,219,25,244,-3.3,0.9,0,49,5.1
2025.01.04,00:00,23.59,Arnulf,155,20,175,-5.4,0.2,12.5,65,6.1
2025.01.05,00:00,23.59,Arnulf,129,21,150,-2,9.8,11.4,96,0
2025.01.06,00:00,23.59,Arnulf,285,15,300,1.7,13.7,1.1,98,5
2025.01.07,00:00,23.59,Arnulf,898,74,972,2.6,8.4,0.9,74,2.2
2025.01.08,00:00,23.59,Arnulf,522,54,576,0.9,11.8,8.5,94,0
2025.01.09,00:00,23.59,Arnulf,874,62,936,0.6,13.7,4.8,90,3.8
2025.01.10,00:00,23.59,Arnulf,677,54,731,-2.4,3,0,59,2.8
2025.01.11,00:00,23.59,Arnulf,414,40,454,-3.6,-0.8,0,50,3.3
2025.01.12,00:00,23.59,Arnulf,345,36,381,-2.9,0,0,74,2.1
2025.01.13,00:00,23.59,Arnulf,738,61,799,-5.2,-0.1,0,41,6.7
2025.01.14,00:00,23.59,Arnulf,811,74,885,-6.2,0.2,0,58,4.9
2025.01.15,00:00,23.59,Arnulf,486,48,534,-3.3,0.6,3.5,94,0
2025.01.16,00:00,23.59,Arnulf,656,46,702,-0.3,1.4,0,99,0
2025.01.17,00:00,23.59,Arnulf,602,64,666,-0.9,0.2,0,100,0
2025.01.18,00:00,23.59,Arnulf,386,32,418,-3.7,0.2,0,75,1
2025.01.19,00:00,23.59,Arnulf,350,37,387,-4,4.9,0,41,8.3
2025.01.20,00:00,23.59,Arnulf,766,54,820,-3.2,7.3,0,80,5.6
2025.01.21,00:00,23.59,Arnulf,923,53,976,-3.4,4.7,0,66,7.7
2025.01.22,00:00,23.59,Arnulf,859,63,922,-4.2,2.6,0,98,4.6
2025.01.23,00:00,23.59,Arnulf,793,57,850,-0.9,7,0.7,84,2
2025.01.24,00:00,23.59,Arnulf,820,52,872,0.8,13,0,89,5.8
2025.01.25,00:00,23.59,Arnulf,588,29,617,4.1,16.6,0,91,2.5
2025.01.26,00:00,23.59,Arnulf,418,31,449,2.2,9,0,81,1.2
2025.01.27,00:00,23.59,Arnulf,857,63,920,2.1,12.9,11.2,94,1.9
2025.01.28,00:00,23.59,Arnulf,545,56,601,0.9,6,15,91,0
2025.01.29,00:00,23.59,Arnulf,994,84,1078,2.2,9.8,0.1,63,4.6
2025.01.30,00:00,23.59,Arnulf,1055,82,1137,-1.2,8.3,0,88,5
2025.01.31,00:00,23.59,Arnulf,728,61,789,0.9,5.5,0,98,0
2025.01.01,00:00,23.59,Olympia,325,337,662,-3.2,12.7,0,70,8.1
2025.01.02,00:00,23.59,Olympia,233,260,493,0.3,10.5,15.7,95,0
2025.01.03,00:00,23.59,Olympia,204,214,418,-3.3,0.9,0,49,5.1
2025.01.04,00:00,23.59,Olympia,177,191,368,-5.4,0.2,12.5,65,6.1
2025.01.05,00:00,23.59,Olympia,141,148,289,-2,9.8,11.4,96,0
2025.01.06,00:00,23.59,Olympia,495,423,918,1.7,13.7,1.1,98,5
2025.01.07,00:00,23.59,Olympia,771,761,1532,2.6,8.4,0.9,74,2.2
2025.01.08,00:00,23.59,Olympia,510,507,1017,0.9,11.8,8.5,94,0
2025.01.09,00:00,23.59,Olympia,816,791,1607,0.6,13.7,4.8,90,3.8
2025.01.10,00:00,23.59,Olympia,741,729,1470,-2.4,3,0,59,2.8
2025.01.11,00:00,23.59,Olympia,409,380,789,-3.6,-0.8,0,50,3.3
2025.01.12,00:00,23.59,Olympia,401,349,750,-2.9,0,0,74,2.1
2025.01.13,00:00,23.59,Olympia,769,720,1489,-5.2,-0.1,0,41,6.7
2025.01.14,00:00,23.59,Olympia,767,743,1510,-6.2,0.2,0,58,4.9
2025.01.15,00:00,23.59,Olympia,474,450,924,-3.3,0.6,3.5,94,0
2025.01.16,00:00,23.59,Olympia,611,563,1174,-0.3,1.4,0,99,0
2025.01.17,00:00,23.59,Olympia,580,507,1087,-0.9,0.2,0,100,0
2025.01.18,00:00,23.59,Olympia,418,339,757,-3.7,0.2,0,75,1
2025.01.19,00:00,23.59,Olympia,517,448,965,-4,4.9,0,41,8.3
2025.01.20,00:00,23.59,Olympia,796,759,1555,-3.2,7.3,0,80,5.6
2025.01.21,00:00,23.59,Olympia,879,814,1693,-3.4,4.7,0,66,7.7
2025.01.22,00:00,23.59,Olympia,782,704,1486,-4.2,2.6,0,98,4.6
2025.01.23,00:00,23.59,Olympia,771,721,1492,-0.9,7,0.7,84,2
2025.01.24,00:00,23.59,Olympia,978,939,1917,0.8,13,0,89,5.8
2025.01.25,00:00,23.59,Olympia,676,750,1426,4.1,16.6,0,91,2.5
2025.01.26,00:00,23.59,Olympia,590,548,1138,2.2,9,0,81,1.2
2025.01.27,00:00,23.59,Olympia,866,810,1676,2.1,12.9,11.2,94,1.9
2025.01.28,00:00,23.59,Olympia,506,523,1029,0.9,6,15,91,0
2025.01.29,00:00,23.59,Olympia,914,912,1826,2.2,9.8,0.1,63,4.6
2025.01.30,00:00,23.59,Olympia,894,870,1764,-1.2,8.3,0,88,5
2025.01.31,00:00,23.59,Olympia,680,641,1321,0.9,5.5,0,98,0
2025.01.01,00:00,23.59,Hirsch,159,136,295,-3.2,12.7,0,70,8.1
2025.01.02,00:00,23.59,Hirsch,203,230,433,0.3,10.5,15.7,95,0
2025.01.03,00:00,23.59,Hirsch,109,116,225,-3.3,0.9,0,49,5.1
2025.01.04,00:00,23.59,Hirsch,86,86,172,-5.4,0.2,12.5,65,6.1
2025.01.05,00:00,23.59,Hirsch,39,46,85,-2,9.8,11.4,96,0
2025.01.06,00:00,23.59,Hirsch,202,189,391,1.7,13.7,1.1,98,5
2025.01.07,00:00,23.59,Hirsch,695,721,1416,2.6,8.4,0.9,74,2.2
2025.01.08,00:00,23.59,Hirsch,378,399,777,0.9,11.8,8.5,94,0
2025.01.09,00:00,23.59,Hirsch,662,694,1356,0.6,13.7,4.8,90,3.8
2025.01.10,00:00,23.59,Hirsch,508,495,1003,-2.4,3,0,59,2.8
2025.01.11,00:00,23.59,Hirsch,208,210,418,-3.6,-0.8,0,50,3.3
2025.01.12,00:00,23.59,Hirsch,170,160,330,-2.9,0,0,74,2.1
2025.01.13,00:00,23.59,Hirsch,609,624,1233,-5.2,-0.1,0,41,6.7
2025.01.14,00:00,23.59,Hirsch,633,653,1286,-6.2,0.2,0,58,4.9
2025.01.15,00:00,23.59,Hirsch,348,358,706,-3.3,0.6,3.5,94,0
2025.01.16,00:00,23.59,Hirsch,392,382,774,-0.3,1.4,0,99,0
2025.01.17,00:00,23.59,Hirsch,411,422,833,-0.9,0.2,0,100,0
2025.01.18,00:00,23.59,Hirsch,200,193,393,-3.7,0.2,0,75,1
2025.01.19,00:00,23.59,Hirsch,277,243,520,-4,4.9,0,41,8.3
2025.01.20,00:00,23.59,Hirsch,680,704,1384,-3.2,7.3,0,80,5.6
2025.01.21,00:00,23.59,Hirsch,736,761,1497,-3.4,4.7,0,66,7.7
2025.01.22,00:00,23.59,Hirsch,679,676,1355,-4.2,2.6,0,98,4.6
2025.01.23,00:00,23.59,Hirsch,583,605,1188,-0.9,7,0.7,84,2
2025.01.24,00:00,23.59,Hirsch,605,578,1183,0.8,13,0,89,5.8
2025.01.25,00:00,23.59,Hirsch,353,370,723,4.1,16.6,0,91,2.5
2025.01.26,00:00,23.59,Hirsch,254,236,490,2.2,9,0,81,1.2
2025.01.27,00:00,23.59,Hirsch,706,751,1457,2.1,12.9,11.2,94,1.9
2025.01.28,00:00,23.59,Hirsch,419,407,826,0.9,6,15,91,0
2025.01.29,00:00,23.59,Hirsch,744,743,1487,2.2,9.8,0.1,63,4.6
2025.01.30,00:00,23.59,Hirsch,757,804,1561,-1.2,8.3,0,88,5
2025.01.31,00:00,23.59,Hirsch,517,514,1031,0.9,5.5,0,98,0
2025.01.01,00:00,23.59,Erhardt,559,541,1100,-3.2,12.7,0,70,8.1
